"posteam","Offensive EPA / Play","Offensive Success Rate","Pass EPA / Play","Pass Success Rate","Rush EPA / Play","Rush Success Rate","Pass Ratio"
"DAL",-0.1022455676456,0.452380952380952,-0.146986518335598,0.442622950819672,0.0164152146191767,0.478260869565217,0.726190476190476
"DC",-0.067135617953589,0.352112676056338,-0.0897112424850398,0.333333333333333,-0.0407686671649479,0.374045801526718,0.538732394366197
"HOU",0.119598725924464,0.491408934707904,0.139116696129,0.492890995260663,0.0681200795100016,0.4875,0.725085910652921
"LA",0.0508288595771387,0.427152317880795,0.126297910035513,0.461904761904762,-0.12143745125176,0.347826086956522,0.695364238410596
"NY",-0.102186296543245,0.376383763837638,-0.126340080358671,0.371951219512195,-0.0651655437794144,0.383177570093458,0.605166051660517
"SEA",-0.10586238569673,0.385964912280702,-0.214608506327492,0.339622641509434,0.0313648617658972,0.444444444444444,0.557894736842105
"STL",0.0252619218936332,0.455587392550143,0.142620211119483,0.503030303030303,-0.0799778483360688,0.41304347826087,0.472779369627507
"TB",-0.0366593463250381,0.420212765957447,-0.0842108198910912,0.411483253588517,0.022851180473196,0.431137724550898,0.555851063829787
"XFL",-0.0265029074400761,0.422213311948677,-0.028135048706823,0.425082508250825,-0.0239771729976638,0.417773237997957,0.607457898957498
