"","SRS_ratings","Vegas","Elo","EloZero","EloDouble"
"DAL",2.5202380952381,4.02160518951333,1.19064395560516,0.353638823448127,0.754250197680185
"DC",-3.53690476190476,2.32925752136984,-0.673750367715793,-0.962758793329085,-3.14028389510328
"HOU",8.35259740259741,6.66516731399369,2.83910374603685,3.2153794514367,5.94240059208622
"LA",-1.46893939393939,-1.16848173473508,-1.16872138969253,-0.922023772330876,-1.05348450601813
"NY",-3.21168831168831,-8.0032438369584,-0.392585900446129,-0.557441380463433,-0.917787061684512
"SEA",-4.41439393939393,-5.82207024425803,-2.81272929604413,-1.86057803457908,-3.44838297453864
"STL",6.21168831168832,2.93900095450389,1.37902598706136,1.85336413077838,3.3485595967809
"TB",-4.4525974025974,-0.961235163429252,-0.360986734804792,-1.11958042496073,-1.48527194920276
