"GAMEID","WEEK","QTR","START","POS","DEF","PASSER","TARGET","AIR YARDS","NOTES","PlayIden","play_id"
3,1,2,"01:31","TB","NY","A.MURRAY","N.TRUESDELL",20,NA,"3_2_1:31",28474
3,1,2,"01:17","TB","NY","A.MURRAY","R.HORN",2,NA,"3_2_1:17",9277
3,1,2,"01:11","TB","NY","A.MURRAY",NA,NA,NA,"3_2_1:11",17764
3,1,2,"01:06","TB","NY","A.MURRAY",NA,NA,NA,"3_2_1:06",17757
3,1,2,"00:54","TB","NY","A.MURRAY","R.HORN",9,NA,"3_2_0:54",28476
3,1,2,"00:41","TB","NY","A.MURRAY","J.TOLLIVER",17,NA,"3_2_0:41",23593
3,1,2,"00:31","NY","TB","M.MCGLOIN","D.VICTOR",3,NA,"3_2_0:31",17695
3,1,2,"00:20","NY","TB","M.MCGLOIN","C.PEARSON",28,NA,"3_2_0:20",17729
3,1,3,"13:14","TB","NY","Q.FLOWERS",NA,NA,NA,"3_3_13:14",28535
3,1,3,"12:54","TB","NY","A.MURRAY",NA,NA,NA,"3_3_12:54",17702
3,1,3,"11:31","NY","TB","M.MCGLOIN","J.HORN",4,NA,"3_3_11:31",17716
3,1,3,"10:36","NY","TB","M.MCGLOIN","J.POWELL",5,NA,"3_3_10:36",9420
3,1,3,"10:17","NY","TB","M.MCGLOIN","M.MCKAY",4,NA,"3_3_10:17",17751
3,1,3,"08:42","TB","NY","A.MURRAY","D.WILLIAMS",-1,NA,"3_3_8:42",17707
3,1,3,"06:57","TB","NY","A.MURRAY","J.TOLLIVER",0,NA,"3_3_6:57",17749
3,1,3,"01:57","TB","NY","A.MURRAY","J.TOLLIVER",5,NA,"3_3_1:57",9543
3,1,3,"01:27","TB","NY","A.MURRAY","J.TOLLIVER",5,NA,"3_3_1:27",9549
3,1,3,"00:22","NY","TB","M.MCGLOIN","J.HORN",5,NA,"3_3_0:22",9573
3,1,4,"15:00","NY","TB","M.MCGLOIN","D.VICTOR",-5,NA,"3_4_15:00",17723
3,1,4,"14:23","NY","TB","M.MCGLOIN",NA,NA,NA,"3_4_14:23",9612
3,1,4,"13:23","NY","TB","M.MCGLOIN","C.PEARSON",39,NA,"3_4_13:23",9600
3,1,4,"12:49","NY","TB","M.MCGLOIN","J.HORN",13,NA,"3_4_12:49",9607
3,1,4,"12:09","TB","NY","A.MURRAY","N.TRUESDELL",10,NA,"3_4_12:09",23583
3,1,4,"11:18","TB","NY","A.MURRAY","J.PATRICK",4,NA,"3_4_11:18",9657
3,1,4,"10:51","TB","NY","A.MURRAY","D.SMITH",2,NA,"3_4_10:51",17727
3,1,4,"10:13","TB","NY","A.MURRAY","D.WILLIAMS",18,NA,"3_4_10:13",28482
3,1,4,"07:16","TB","NY","A.MURRAY",NA,NA,NA,"3_4_7:16",28534
3,1,4,"06:33","TB","NY","A.MURRAY","R.HORN",5,NA,"3_4_6:33",9709
3,1,4,"02:00","TB","NY","Q.FLOWERS","D.WILLIAMS",33,NA,"3_4_2:00",28471
3,1,4,"01:37","TB","NY","Q.FLOWERS",NA,NA,NA,"3_4_1:37",NA
3,1,4,"01:19","TB","NY","Q.FLOWERS",NA,NA,NA,"3_4_1:19",28536
4,1,1,"15:00","DAL","STL","P.NELSON","J.BADET",4,"CORRECT","4_1_15:00",9835
4,1,1,"14:38","DAL","STL","P.NELSON","F.NAGEL",4,NA,"4_1_14:38",23621
4,1,1,"14:11","DAL","STL","P.NELSON","L.DUNBAR",-3,NA,"4_1_14:11",17834
4,1,1,"13:41","DAL","STL","P.NELSON","L.DUNBAR",-2,NA,"4_1_13:41",23620
4,1,1,"13:17","DAL","STL","P.NELSON","J.BADET",3,"CORRECT","4_1_13:17",23622
4,1,1,"12:22","DAL","STL","P.NELSON","J.BADET",-6,"CORRECT","4_1_12:22",23623
4,1,1,"12:01","DAL","STL","P.NELSON","M.YOUNG",-1,NA,"4_1_12:01",17880
4,1,1,"9:34","STL","DAL","J.TA'AMU","B.REILLY",10,NA,"4_1_9:34",17852
4,1,1,"7:54","STL","DAL","J.TA'AMU","C.MICHAEL",-5,NA,"4_1_7:54",17879
4,1,1,"6:30","DAL","STL","P.NELSON","S.PRICE",5,NA,"4_1_6:30",17830
