"DAL_Rating","DC_Rating","HOU_Rating","LA_Rating","NY_Rating","SEA_Rating","STL_Rating","TB_Rating","DAL_Wins","DC_Wins","HOU_Wins","LA_Wins","NY_Wins","SEA_Wins","STL_Wins","TB_Wins","WEST_REG_CHAMP","EAST_REG_CHAMP","WEST_RU","EAST_RU","XFL_RU","XFL_CHAMP","WeeklyWinner1","WeeklyWinner2","WeeklyWinner3","WeeklyWinner4"
1466.50553018365,1471.07121824649,1615.92002463955,1463.60083724238,1516.00538307537,1399.94862273385,1532.76414095175,1534.18424292696,3,4,10,4,5,2,7,5,"LA","STL","LA","STL","DAL","TB","NY","STL","HOU","TB"
1462.96253679343,1510.13074138529,1609.64795120299,1488.8976089911,1527.00227140216,1438.36400299621,1506.37201350628,1456.62287372254,3,6,9,5,6,4,5,2,"HOU","DC","LA","NY","DC","HOU","NY","DC","HOU","LA"
1463.9566618872,1519.31069278874,1588.33917104498,1455.80007603285,1515.50770638658,1433.09679486751,1532.20222752347,1491.78666946866,3,5,9,3,5,4,7,4,"HOU","STL","SEA","STL","HOU","DC","NY","STL","HOU","TB"
1495.28066673504,1490.20104816193,1590.43777804626,1435.03089337415,1494.98391043224,1420.45619393781,1536.4530663279,1537.15644298467,5,5,9,2,4,3,7,5,"HOU","STL","DAL","STL","HOU","TB","NY","DC","HOU","TB"
1525.67693475951,1515.88027793074,1566.41294611771,1490.44050077063,1571.57771718988,1383.39695729938,1491.990891827,1454.62377410516,6,7,8,5,7,1,4,2,"HOU","DC","HOU","DC","DAL","NY","NY","DC","HOU","LA"
1512.45957445874,1453.47135955725,1591.69827098979,1455.38621181788,1545.00476511153,1382.88307361658,1603.08397284451,1456.01277160372,6,3,9,3,7,1,9,2,"HOU","STL","DAL","NY","HOU","STL","NY","STL","HOU","TB"
1506.9358125834,1500.52667711861,1584.36900339505,1454.9911022362,1513.81239827162,1401.0039629845,1563.80114077978,1474.55990263084,5,6,9,3,5,2,7,3,"HOU","STL","HOU","DC","DAL","STL","NY","DC","HOU","TB"
1518.17306726194,1434.05553009738,1616.46708327424,1446.06358459216,1541.46838810011,1402.85515934228,1528.58216411796,1512.33502321393,5,2,10,3,7,2,6,5,"DAL","NY","LA","NY","STL","DAL","NY","STL","HOU","LA"
1505.02646063539,1450.65672730089,1565.29175089863,1474.9964673996,1506.66810346336,1439.91800990368,1563.44568417399,1493.99679622447,5,3,8,4,5,4,7,4,"HOU","STL","HOU","NY","DAL","STL","NY","DC","HOU","LA"
1476.22061232144,1547.51058868924,1589.74065427031,1473.96384036454,1527.01789720709,1400.43456210718,1510.54921782193,1474.56262721825,4,7,9,4,6,2,5,3,"HOU","DC","DAL","NY","HOU","DC","NY","DC","HOU","LA"
