"posteam","Offensive EPA / Play","Offensive Success Rate","Pass EPA / Play","Pass Success Rate","Rush EPA / Play","Rush Success Rate","Pass Ratio"
"DAL",-0.00403233379801279,0.487309644670051,-0.00974499044671541,0.49645390070922,0.0103513195496135,0.464285714285714,0.715736040609137
"DC",0.00337906306196158,0.356756756756757,0.0772210157231138,0.380952380952381,-0.0935384998058006,0.325,0.567567567567568
"HOU",0.148948557198178,0.46583850931677,0.195830779583252,0.475,0.0117322965589364,0.439024390243902,0.745341614906832
"LA",-0.00283209218823208,0.407608695652174,0.0833643420521776,0.446280991735537,-0.168383973824575,0.333333333333333,0.657608695652174
"NY",-0.175311191862817,0.378378378378378,-0.211092735022742,0.38,-0.100766310279639,0.375,0.675675675675676
"SEA",-0.146861884853197,0.39010989010989,-0.248442532744085,0.365384615384615,-0.0114210209986782,0.423076923076923,0.571428571428571
"STL",0.0323521497105463,0.469483568075117,0.138681290352678,0.52,-0.0617444349285082,0.424778761061947,0.469483568075117
"TB",-0.128211850604253,0.409090909090909,-0.236227563675983,0.368421052631579,0.0369156188042525,0.471264367816092,0.604545454545454
"XFL",-0.034026945657075,0.422147651006711,-0.0261650345292783,0.430735930735931,-0.0468615850247147,0.408127208480565,0.620134228187919
