PlayID,GameID,DriveID,Sequence,TeamID,ClubCode,Quarter,StartTime,Down,Distance,Yardline,Situation,PlayType,StartHomeScore,StartAwayScore,IsScoringPlay,EndTime,EndHomeScore,EndAwayScore,ScoringPlayDescription,PlayDescription,ShortPlayDescription,FirstDownDescription,DriveTotalPossessionTime,DriveNetYards,DrivePlays,playScoreType,playScorer,playScoringTeamId,firstDownReset,Notes
14214,7,6128,25,600,DAL,1,3:47,1,10,LA 30,1st & 10 LA 30,Pass,0,0,FALSE,3:15,0,0,,(Shotgun) L.Jones pass short right intended for D.Parham INTERCEPTED by H.Miller at LA 20. H.Miller to DAL 48 for 10 yards (F.Nagel),Intercept,,4:24,60,6,,,0,TRUE,
14216,7,6129,26,602,LA,1,3:15,1,10,DAL 48,1st & 10 DAL 48,Rush,0,0,FALSE,2:34,0,0,,(Shotgun) E.Hood rush up the middle to DAL 42 for 6 yards (T.Scales; G.Martini),6 yard rush,,3:22,30,6,,,0,FALSE,
14219,7,6129,27,602,LA,1,2:34,2,4,DAL 42,2nd & 4 DAL 42,Rush,0,0,FALSE,1:49,0,0,,(Shotgun) E.Hood rush left guard to DAL 40 for 2 yards (T.Scales),2 yard rush,,3:22,30,6,,,0,FALSE,
14221,7,6129,28,602,LA,1,1:49,3,2,DAL 40,3rd & 2 DAL 40,Pass,0,0,FALSE,1:12,0,0,,(Shotgun) J.Johnson pass short left to L.Rose to DAL 29 for 11 yards (G.Martini),11 yard pass,P3,3:22,30,6,,,0,FALSE,
14222,7,6129,29,602,LA,1,1:12,1,10,DAL 29,1st & 10 DAL 29,Rush,0,0,FALSE,0:36,0,0,,(Shotgun) L.Rose rush right guard to DAL 27 for 2 yards (T.Guerad),2 yard rush,,3:22,30,6,,,0,TRUE,
14223,7,6129,30,602,LA,1,0:36,2,8,DAL 27,2nd & 8 DAL 27,Rush,0,0,FALSE,0:00,0,0,,(Shotgun) L.Whitfield rush left end to DAL 10 for 17 yards (D.Brown),17 yard rush,R4,3:22,30,6,,,0,FALSE,
14279,7,6129,31,602,LA,2,15:00,1,10,DAL 10,1st & 10 DAL 10,Rush,0,0,FALSE,15:00,0,0,,"(Shotgun) E.Hood rush left tackle to DAL 7 for 3 yards (A.Brown) PENALTY on LA. Holding, 10 yards, enforced to DAL 20.",,,3:22,30,6,,,0,TRUE,
14280,7,6129,32,602,LA,2,15:00,1,10,DAL 10,1st & 10 DAL 10,Rush,0,0,FALSE,14:53,0,0,,(Shotgun) E.Hood rush left end to DAL 8. FUMBLES. recovered by T.Adewusi to DAL 8 for 2 yards (F.Lauina),2 yard fumble,,3:22,30,6,,,0,FALSE,
14499,7,6159,33,600,DAL,2,14:53,1,10,DAL 8,1st & 10 DAL 08,Rush,0,0,FALSE,14:20,0,0,,(Shotgun) C.Artis-Payne rush right end to DAL 10 for 2 yards (W.Smith; C.Reed),2 yard rush,,2:30,41,5,,,0,FALSE,
14284,7,6159,34,600,DAL,2,14:20,2,8,DAL 10,2nd & 8 DAL 10,Pass,0,0,FALSE,13:41,0,0,,(Shotgun) L.Jones pass short middle to D.Parham to DAL 30 for 20 yards (A.Springs),20 yard pass,P5,2:30,41,5,,,0,FALSE,
