PlayID,GameID,DriveID,Sequence,TeamID,ClubCode,Quarter,StartTime,Down,Distance,Yardline,Situation,PlayType,StartHomeScore,StartAwayScore,IsScoringPlay,EndTime,EndHomeScore,EndAwayScore,ScoringPlayDescription,PlayDescription,ShortPlayDescription,FirstDownDescription,DriveTotalPossessionTime,DriveNetYards,DrivePlays,playScoreType,playScorer,playScoringTeamId,firstDownReset,Notes
18345,9,7214,1,607,TB,1,15:00,1,0,HOU 30,NA,Kick off,0,0,FALSE,14:53,0,0,,"S.Castillo kickoff from HOU 30, 63 yds to TB 7. R.Hall to TB 41 for 34 yards (B.Brown).",Kickoff,,2:26,29,7,,,0,FALSE,
18346,9,7214,2,607,TB,1,14:53,1,10,TB 41,1st & 10 TB 41,Pass,0,0,FALSE,14:28,0,0,,(Shotgun) T.Cornelius pass short left to R.Horn to TB 44 for 3 yards (A.Harris).,3 yard pass,,2:26,29,7,,,0,FALSE,
18327,9,7214,3,607,TB,1,14:28,2,7,TB 44,2nd & 7 TB 44,Rush,0,0,FALSE,13:58,0,0,,(Shotgun) D.Smith rush right guard to TB 46 for 2 yards (C.Crawford; K.Ealy).,2 yard rush,,2:26,29,7,,,0,FALSE,
18328,9,7214,4,607,TB,1,13:58,3,5,TB 46,3rd & 5 TB 46,Pass,0,0,FALSE,13:36,0,0,,(Shotgun) T.Cornelius pass short right to R.Horn to HOU 35 for 19 yards (A.Harris).,19 yard pass,P1,2:26,29,7,,,0,FALSE,
18330,9,7214,5,607,TB,1,13:36,1,10,HOU 35,1st & 10 HOU 35,Rush,0,0,FALSE,13:09,0,0,,(Shotgun) D.Smith rush right guard to HOU 30 for 5 yards (C.Lyons; D.Nichols).,5 yard rush,,2:26,29,7,,,0,TRUE,
18336,9,7214,6,607,TB,1,13:09,2,5,HOU 30,2nd & 5 HOU 30,Rush,0,0,FALSE,12:42,0,0,,(Shotgun) D.Smith rush right guard to HOU 30 for no gain (E.Robinson).,0 yard rush,,2:26,29,7,,,0,FALSE,
18341,9,7214,7,607,TB,1,12:42,3,5,HOU 30,3rd & 5 HOU 30,Pass,0,0,FALSE,12:34,0,0,,(Shotgun) T.Cornelius pass incomplete short right to J.Tolliver.,Incomplete pass,,2:26,29,7,,,0,FALSE,
18348,9,7214,8,607,TB,1,12:34,4,5,HOU 30,4th & 5 HOU 30,Field Goal,0,0,TRUE,12:34,3,0,,(Field Goal) A.Franks 48 yds field goal IS GOOD.,48 yard field goal,,2:26,29,7,Field Goal,Andrew Franks,607,FALSE,
18402,9,7246,9,601,HOU,1,12:34,1,0,TB 30,NA,Kick off,3,0,FALSE,12:08,3,0,,"A.Franks kickoff from TB 30, 71 yds to HOU -1. A.Harris to HOU 37 for 38 yards (B.Canady).",Kickoff,,3:56,21,6,,,0,FALSE,
18405,9,7246,10,601,HOU,1,12:08,1,10,HOU 37,1st & 10 HOU 37,Pass,3,0,FALSE,11:49,3,0,,(Shotgun) P.Walker pass short left to J.Butler to HOU 41 for 4 yards (T.McFadden; J.Neill).,4 yard pass,,3:56,21,6,,,0,FALSE,
