PlayID,GameID,DriveID,Sequence,TeamID,ClubCode,Quarter,StartTime,Down,Distance,Yardline,Situation,PlayType,StartHomeScore,StartAwayScore,IsScoringPlay,EndTime,EndHomeScore,EndAwayScore,ScoringPlayDescription,PlayDescription,ShortPlayDescription,FirstDownDescription,DriveTotalPossessionTime,DriveNetYards,DrivePlays,playScoreType,playScorer,playScoringTeamId,firstDownReset,Notes
9835,4,4275,1,600,DAL,1,15:00,1,0,STL 35,NA,Kick off,0,0,FALSE,15:00,0,0,,"T.Russolino kickoff from STL 35 to end zone, Touchback Major.",Kickoff,,4:27,29,9,,,0,FALSE,
9969,4,4275,2,600,DAL,1,15:00,1,10,DAL 35,1st & 10 DAL 35,Pass,0,0,FALSE,14:38,0,0,,(Shotgun) P.Nelson pass incomplete short right to J.Badet.,Incomplete pass,,4:27,29,9,,,0,FALSE,
9968,4,4275,3,600,DAL,1,14:38,2,10,DAL 35,2nd & 10 DAL 35,Pass,0,0,FALSE,14:11,0,0,,"(No Huddle, Shotgun) P.Nelson pass short right to F.Nagel out of bounds at DAL 47 for 12 yards (D.Hillary)",12 yard pass,P1,4:27,29,9,,,0,FALSE,
9918,4,4275,4,600,DAL,1,14:11,1,10,DAL 47,1st & 10 DAL 47,Pass,0,0,FALSE,13:41,0,0,,(Shotgun) P.Nelson pass short right to L.Dunbar to midfield for 3 yards (W.Hill),3 yard pass,,4:27,29,9,,,0,TRUE,
9919,4,4275,5,600,DAL,1,13:41,2,7,DAL 50,2nd & 7 50,Pass,0,0,FALSE,13:17,0,0,,"(No Huddle, Shotgun) P.Nelson pass short right to L.Dunbar out of bounds at STL 42 for 8 yards (K.Robinson)",8 yard pass,P2,4:27,29,9,,,0,FALSE,
9903,4,4275,6,600,DAL,1,13:17,1,10,STL 42,1st & 10 STL 42,Pass,0,0,FALSE,12:55,0,0,,"(No Huddle, Shotgun) P.Nelson pass short left to J.Badet out of bounds at STL 35 for 7 yards (D.Hillary)",7 yard pass,,4:27,29,9,,,0,TRUE,
9902,4,4275,7,600,DAL,1,12:55,2,3,STL 35,2nd & 3 STL 35,Rush,0,0,FALSE,12:22,0,0,,"(No Huddle, Shotgun) M.Young rush left guard to STL 28 for 7 yards (D.Hillary)",7 yard rush,R3,4:27,29,9,,,0,FALSE,
9901,4,4275,8,600,DAL,1,12:22,1,10,STL 28,1st & 10 STL 28,Pass,0,0,FALSE,12:01,0,0,,"(No Huddle, Shotgun) P.Nelson pass short right to J.Badet out of bounds at STL 33 for -5 yards (W.Hill)",-5 yard pass,,4:27,29,9,,,0,TRUE,
9900,4,4275,9,600,DAL,1,12:01,2,15,STL 33,2nd & 15 STL 33,Pass,0,0,FALSE,11:21,0,0,,"(No Huddle, Shotgun) P.Nelson pass short left to M.Young to STL 34 for -1 yards (T.Garvin)",-1 yard pass,,4:27,29,9,,,0,FALSE,
9909,4,4275,10,600,DAL,1,11:21,3,16,STL 34,3rd & 16 STL 34,Pass,0,0,FALSE,10:41,0,0,,"(No Huddle, Shotgun) P.Nelson sacked at STL 36 for -2 yards (D.Hendrix)",-2 yard sack,,4:27,29,9,,,0,FALSE,
9921,4,4275,11,600,DAL,1,10:41,4,18,STL 36,4th & 18 STL 36,Punt,0,0,FALSE,10:33,0,0,,"(Punt) P.Nelson punts for 32 yards to STL 4, downed by D.Brown.",32 yard punt,,4:27,29,9,,,0,FALSE,
10005,4,4298,12,606,STL,1,10:33,1,10,STL 4,1st & 10 STL 04,Rush,0,0,FALSE,10:03,0,0,,(Shotgun) M.Jones rush left tackle to STL 9 for 5 yards (D.Phillips),5 yard rush,,3:25,37,6,,,0,FALSE,
9955,4,4298,13,606,STL,1,10:03,2,5,STL 9,2nd & 5 STL 09,Rush,0,0,FALSE,9:34,0,0,,"(No Huddle, Shotgun) M.Jones rush left end to STL 19 for 10 yards (A.Brown)",10 yard rush,R1,3:25,37,6,,,0,FALSE,
9942,4,4298,14,606,STL,1,9:34,1,10,STL 19,1st & 10 STL 19,Pass,0,0,FALSE,9:08,0,0,,"(No Huddle, Shotgun) J.Ta'amu pass short middle to B.Reilly to STL 38 for 19 yards (J.Hawkins)",19 yard pass,P2,3:25,37,6,,,0,TRUE,
9954,4,4298,15,606,STL,1,9:08,1,10,STL 38,1st & 10 STL 38,Rush,0,0,FALSE,8:34,0,0,,"(No Huddle, Shotgun) M.Jones rush left tackle to STL 41 for 3 yards (T.Adewusi)",3 yard rush,,3:25,37,6,,,0,TRUE,
9957,4,4298,16,606,STL,1,8:34,2,7,STL 41,2nd & 7 STL 41,Rush,0,0,FALSE,7:54,0,0,,"(No Huddle, Shotgun) M.Jones rush left guard to STL 42 for 1 yards (W.Craig; J.Calvin)",1 yard rush,,3:25,37,6,,,0,FALSE,
