"PlayID","GameID","DriveID","Sequence","TeamID","ClubCode","Quarter","StartTime","Down","Distance","Yardline","Situation","PlayType","StartHomeScore","StartAwayScore","IsScoringPlay","EndTime","EndHomeScore","EndAwayScore","ScoringPlayDescription","PlayDescription","ShortPlayDescription","FirstDownDescription","DriveTotalPossessionTime","DriveNetYards","DrivePlays","playScoreType","playScorer","playScoringTeamId","firstDownReset","Notes","DefTeam","OffensePts","Yardline100","GoalToGo","SecondsLeftInHalfStart","YardsGained","RushAttempt","PassAttempt","CompletePass","Interception","Penalty","Sack","Scramble","QBSpike","QBKneel","PAT","PATConverted","PlayFormation","TacklerName1","TacklerName2","PasserName","RusherName","TargetName","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","ep","epa"
21243,11,8423,1,606,"STL",1,"15:00",1,10,"NY 30",NA,"Kick off",0,0,FALSE,"14:55",0,0,"","M.McCrane kickoff from NY 30, 62 yds to STL 8. K.Mumphery to STL 28 for 20 yards (D.Hines; A.Soroh).","Kickoff","","1:49",72,4,"","",0,FALSE,"","NY",0,68,0,1800,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.00118940054358468,0.139267165562182,0.00249129866109976,0.217438673165424,0.25928677168481,0.00369061767307694,0.376636072709823,1.39724055343043,-0.351588758530089
21250,11,8423,2,606,"STL",1,"14:55",1,10,"STL 28","1st & 10 STL 28","Rush",0,0,FALSE,"14:22",0,0,"","(Shotgun) M.Jones rush left tackle to STL 34 for 6 yards (D.Hines).","6 yard rush","","1:49",72,4,"","",0,FALSE,"","NY",0,72,0,1795,6,1,0,1,0,0,0,0,0,0,0,NA,"Shotgun","D.Hines",NA,NA,"M.Jones",NA,0.00132038200042731,0.152455504893321,0.00347251418041616,0.238124435130482,0.244501807885035,0.00367734906286578,0.356448006847452,1.04565179490034,0.285466187803869
21256,11,8423,3,606,"STL",1,"14:22",2,4,"STL 34","2nd & 4 STL 34","Rush",0,0,FALSE,"13:45",0,0,"","(Shotgun) M.Jones rush right guard to STL 39 for 5 yards (C.Walker).","5 yard rush","R1","1:49",72,4,"","",0,FALSE,"","NY",0,66,0,1762,5,1,0,1,0,0,0,0,0,0,0,NA,"Shotgun","C.Walker",NA,NA,"M.Jones",NA,0.0014004728300559,0.144319639225309,0.00242851457727677,0.221804444806624,0.247656054119202,0.00396578343329213,0.37842509100824,1.33111798270421,0.664440384073078
21268,11,8423,4,606,"STL",1,"13:45",1,10,"STL 39","1st & 10 STL 39","Rush",0,0,FALSE,"13:17",0,0,"","(Shotgun) M.Jones rush right tackle out of bounds at NY 14 for 47 yards (A.Soroh)","47 yard rush","R2","1:49",72,4,"","",0,TRUE,"","NY",0,61,0,1725,47,1,0,1,0,0,0,0,0,0,0,NA,"Shotgun","A.Soroh",NA,NA,"M.Jones",NA,0.00136864557624913,0.116876016271897,0.00136821522577387,0.181774836690009,0.284027330456694,0.00364998209032276,0.410934973689055,1.99555836677729,2.31949717610138
21270,11,8423,5,606,"STL",1,"13:17",1,10,"NY 14","1st & 10 NY 14","Rush",0,0,TRUE,"13:11",6,0,"C.Michael 14 yd. run","(Shotgun) C.Michael rush up the middle for 14 yards, TOUCHDOWN.","14 yard rush","R3","1:49",72,4,"Touchdown","Christine Michael",606,TRUE,"","NY",6.5,14,0,1697,14,1,0,1,0,0,0,0,0,0,0,NA,"Shotgun",NA,NA,NA,"C.Michael",NA,0.000388639518366434,0.0275026502240459,1.88103943338728e-05,0.0424351641628186,0.387901930508534,0.00259318752781438,0.539159617664086,4.31505554287867,2.18494445712133
21277,11,8423,6,606,"STL",1,"13:11",1,NA,"NY 5",NA,"Pass",6,0,FALSE,"13:11",6,0,"","2pt attempt unsuccessful.","Unsuccessful conversion","","1:49",72,4,"","",0,FALSE,"","NY",0,5,0,1691,0,0,0,1,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21356,11,8457,7,605,"NY",1,"13:11",1,10,"STL 30",NA,"Kick off",6,0,FALSE,"13:04",6,0,"","T.Russolino kickoff from STL 30, 55 yds to NY 15. J.Stockton to NY 28. FUMBLES (C.Agudosi). Recovered by J.Sutherland at NY 27. J.Sutherland to NY 27 for no gain.","Kickoff","","5:15",24,8,"","",0,FALSE,"","STL",0,68,0,1691,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.00184190311544509,0.138525417501977,0.00247408753967493,0.215389727742181,0.25970199620402,0.00366889909159583,0.378397968805106,1.42547292611899,-0.4398153949691
21357,11,8457,8,605,"NY",1,"13:04",1,10,"NY 27","1st & 10 NY 27","Rush",6,0,FALSE,"12:33",6,0,"","(Shotgun) T.Cook rush right tackle to NY 26 for -1 yards (D.McCoil; D.Lambert).","-1 yard rush","","5:15",24,8,"","",0,FALSE,"","STL",0,73,0,1684,-1,1,0,1,0,0,0,0,0,0,0,NA,"Shotgun","D.McCoil","D.Lambert",NA,"T.Cook",NA,0.00210422173660295,0.155036855462856,0.00374516203262264,0.241176026896593,0.241218541189103,0.00365061768226762,0.353068574999955,0.985657531149886,-0.85077191572176
21305,11,8457,9,605,"NY",1,"12:33",2,11,"NY 26","2nd & 11 NY 26","Pass",6,0,FALSE,"12:02",6,0,"","M.McGloin pass short left to C.Pearson to NY 38 for 12 yards (D.Hillary).","12 yard pass","P1","5:15",24,8,"","",0,FALSE,"","STL",0,74,0,1653,12,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,"M.McGloin",NA,"C.Pearson",0.00249328675935344,0.18520410969779,0.0054091116572229,0.289221506547658,0.218777733058681,0.00397552857683091,0.294918723702464,0.134885615428126,1.8055775412298
21314,11,8457,10,605,"NY",1,"12:02",1,10,"NY 38","1st & 10 NY 38","Rush",6,0,FALSE,"11:30",6,0,"","(Shotgun) T.Cook rush left guard to NY 42 for 4 yards (D.McCoil; T.Garvin).","4 yard rush","","5:15",24,8,"","",0,TRUE,"","STL",0,62,0,1622,4,1,0,1,0,0,0,0,0,0,0,NA,"Shotgun","D.McCoil","T.Garvin",NA,"T.Cook",NA,0.00211768399707081,0.119208209054627,0.00148020093841152,0.184707453650699,0.280903041079561,0.00363436936180209,0.407949041917829,1.94046315665793,-0.0801519677056883
