"PlayID","GameID","DriveID","Sequence","TeamID","ClubCode","Quarter","StartTime","Down","Distance","Yardline","Situation","PlayType","StartHomeScore","StartAwayScore","IsScoringPlay","EndTime","EndHomeScore","EndAwayScore","ScoringPlayDescription","PlayDescription","ShortPlayDescription","FirstDownDescription","DriveTotalPossessionTime","DriveNetYards","DrivePlays","playScoreType","playScorer","playScoringTeamId","firstDownReset","Notes","OffensePts","Yardline100","GoalToGo","SecondsLeftInHalfStart","YardsGained","RushAttempt","PassAttempt","Interception","Penalty","Sack","Scramble","QBSpike","QBKneel","PlayFormation","TacklerName1","TacklerName2","PasserName","RusherName","TargetName","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","ep","epa"
7473,2,3091,1,601,"HOU",1,"15:00",1,10,"LA 30",NA,"Kick off",0,0,FALSE,"14:50",0,0,"","N.Novak kickoff from LA 30, 64 yds to HOU 6. J.Butler to HOU 39 for 64 yards (M.Stevens)","Kickoff","","1:23",61,3,"","",0,FALSE,"",0,68,0,1800,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.00118940054358468,0.139267165562182,0.00249129866109976,0.217438673165424,0.25928677168481,0.00369061767307694,0.376636072709823,1.39724055343043,0.582895067582365
7482,2,3091,2,601,"HOU",1,"14:50",1,10,"HOU 39","1st & 10 HOU 39","Rush",0,0,FALSE,"14:19",0,0,"","(Shotgun) A.Williams rush up the middle to HOU 42 for 3 yards (A.Johnson; L.Brady)","3 yard rush","","1:23",61,3,"","",0,FALSE,"",0,61,0,1790,3,1,0,0,0,0,0,0,0,"Shotgun","A.Johnson","L.Brady",NA,"A.Williams",NA,0.0010547706361162,0.117284778157053,0.00137430463193431,0.182860101023397,0.283843482060109,0.00366397499432383,0.409918588497067,1.9801356210128,-0.229200525923329
7505,2,3091,3,601,"HOU",1,"14:19",2,7,"HOU 42","2nd & 7 HOU 42","Pass",0,0,FALSE,"13:44",0,0,"","(Shotgun) P.Walker pass short right to K.Lewis to midfield for 8 yards (W.Smith)","8 yard pass","P1","1:23",61,3,"","",0,FALSE,"",0,58,0,1759,8,0,1,0,0,0,0,0,0,"Shotgun","W.Smith",NA,"P.Walker",NA,"K.Lewis",0.00118227636050187,0.12435908535447,0.00156127417923582,0.193771514997157,0.288534802412306,0.00395476972670865,0.386636276969621,1.75093509508947,1.03502666437286
7495,2,3091,4,601,"HOU",1,"13:44",1,10,"HOU 50","1st & 10 50","Pass",0,0,TRUE,"13:37",6,0,"C.Phillips 50 yd. pass from P.Walker","(Shotgun) P.Walker pass deep right to C.Phillips for 50 yards, TOUCHDOWN.","50 yard pass","P2","1:23",61,3,"Touchdown","Cam Phillips",601,TRUE,"",6.5,50,0,1724,50,0,1,0,0,0,0,0,0,"Shotgun",NA,NA,"P.Walker",NA,"C.Phillips",0.00103749908754967,0.0867196600442992,0.000522290831949997,0.134650559722846,0.317936212838025,0.00350760725468774,0.455626170220643,2.78596175946233,2.29524991570476
7507,2,3091,5,601,"HOU",1,"13:37",1,NA,"LA 2",NA,"Rush",6,0,FALSE,"13:37",6,0,"","1pt attempt unsuccessful.","Unsuccessful conversion","","1:23",61,3,"","",0,FALSE,"",0,2,0,1717,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7514,2,3134,6,602,"LA",1,"13:37",1,10,"HOU 30",NA,"Kick off",6,0,FALSE,"13:32",6,0,"","S.Castillo kickoff from HOU 30, 65 yds to LA 5. L.Whitfield to LA 29 for 65 yards (T.Schwab)","Kickoff","","5:58",71,11,"","",0,FALSE,"",0,68,0,1717,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.00165948467737547,0.138706118605466,0.00247825590502749,0.215883134593084,0.259610621331713,0.00367417743297828,0.377988207454356,1.41878832483291,-0.261481444724524
7520,2,3134,7,602,"LA",1,"13:32",1,10,"LA 29","1st & 10 LA 29","Pass",6,0,FALSE,"13:10",6,0,"","(Shotgun) C.Kanoff pass incomplete short right to A.Jennings (D.Gates).","Incomplete pass","","5:58",71,11,"","",0,FALSE,"",0,71,0,1712,0,0,1,0,0,0,0,0,0,"Shotgun","D.Gates",NA,"C.Kanoff",NA,"A.Jennings",0.00180501523375619,0.148539047477544,0.003181091272298,0.231245225160442,0.248603674730692,0.00366655675062876,0.362959389374639,1.15730688010839,-0.705168817538515
7527,2,3134,8,602,"LA",1,"13:10",2,10,"LA 29","2nd & 10 LA 29","Pass",6,0,FALSE,"12:33",6,0,"","(Shotgun) C.Kanoff pass short middle to N.Spruce to LA 38 for 9 yards (K.Burnett)","9 yard pass","","5:58",71,11,"","",0,FALSE,"",0,71,0,1690,9,0,1,0,0,0,0,0,0,"Shotgun","K.Burnett",NA,"C.Kanoff",NA,"N.Spruce",0.00204176456026601,0.173374435046682,0.0043157703054145,0.270748530348577,0.232307605633851,0.00400928288864741,0.313202611216562,0.452138062569872,1.26270481659142
7533,2,3134,9,602,"LA",1,"12:33",3,1,"LA 38","3rd & 1 LA 38","Rush",6,0,FALSE,"12:01",6,0,"","E.Hood rush right guard to LA 39 for 1 yards (B.Brown)","1 yard rush","R1","5:58",71,11,"","",0,FALSE,"",0,62,0,1653,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,"E.Hood",NA,0.00197587575085656,0.137145376199411,0.00225411316332178,0.205520641462209,0.2184541806845,0.00309220472689529,0.431557608012806,1.71484287916129,0.304871432227772
7540,2,3134,10,602,"LA",1,"12:01",1,10,"LA 39","1st & 10 LA 39","Pass",6,0,FALSE,"11:26",6,0,"","(Shotgun) C.Kanoff pass short middle to L.Rose to LA 46 for 7 yards (K.Burnett)","7 yard pass","","5:58",71,11,"","",0,TRUE,"",0,61,0,1621,7,0,1,0,0,0,0,0,0,"Shotgun","K.Burnett",NA,"C.Kanoff",NA,"L.Rose",0.00207589290847266,0.11619852073837,0.00135821922371199,0.18001083875248,0.284257061018856,0.00362687932034695,0.412472588037762,2.01971431138906,0.447897696793539
7552,2,3134,11,602,"LA",1,"11:26",2,3,"LA 46","2nd & 3 LA 46","Rush",6,0,FALSE,"10:49",6,0,"","E.Hood rush left guard to LA 44 for -2 yards (C.Crawford, C.Lyons)","-2 yard rush","","5:58",71,11,"","",0,FALSE,"",0,54,0,1586,-2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,"E.Hood",NA,0.00212987848517816,0.101427382346475,0.000910401456029896,0.154295789942136,0.292752874242599,0.00372553508869058,0.444758138438891,2.4676120081826,-1.19135075005178
7555,2,3134,12,602,"LA",1,"10:49",3,5,"LA 44","3rd & 5 LA 44","Rush",6,0,FALSE,"10:17",6,0,"","(Shotgun) C.Kanoff scrambles up the middle to LA 47 for 3 yards (C.Lyons)","3 yard rush","","5:58",71,11,"","",0,FALSE,"",0,56,0,1549,3,1,0,0,0,0,1,0,0,"Shotgun","C.Lyons",NA,NA,"C.Kanoff",NA,0.00277310377988233,0.140996052982032,0.0018244913859654,0.218688386358133,0.282389549345637,0.00431787596099441,0.349010540187356,1.27626125813082,-1.2348923179808
7557,2,3134,13,602,"LA",1,"10:17",4,2,"LA 47",NA,"Penalty",6,0,FALSE,"10:17",6,0,"","PENALTY on HOU. Neutral zone infraction, 5 yards, enforced to HOU 48.","5 yard penalty","","5:58",71,11,"","",0,FALSE,"Penalty",0,53,0,1517,5,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0.0038606975957821,0.187726655269302,0.00234426821583695,0.291968976475826,0.230624855429713,0.00609407386548353,0.277380473148056,0.0413689401500217,2.90836855737273
7563,2,3134,14,602,"LA",1,"10:17",1,10,"HOU 48","1st & 10 HOU 48","Rush",6,0,FALSE,"9:33",6,0,"","L.Whitfield rush left end to HOU 29 for 19 yards (C.Brown)","19 yard rush","R2","5:58",71,11,"","",0,FALSE,"",0,48,0,1517,19,1,0,0,0,0,0,0,0,NA,NA,NA,NA,"L.Whitfield",NA,0.00224728896079377,0.0807800390140412,0.00042984111973,0.124412201112786,0.323382235632101,0.00342103664498398,0.465327357515564,2.94973749752275,0.93347995676237
7569,2,3134,15,602,"LA",1,"9:33",1,10,"HOU 29","1st & 10 HOU 29","Rush",6,0,FALSE,"9:00",6,0,"","E.Hood rush left guard to HOU 27 for 2 yards (C.Lyons)","2 yard rush","","5:58",71,11,"","",0,TRUE,"",0,29,0,1473,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,"E.Hood",NA,0.00153185752041641,0.0446920137460551,7.5407701954504e-05,0.0685257621246673,0.364989743145344,0.00295808158859043,0.517227134172972,3.88321745428512,-0.272929417444908
7575,2,3134,16,602,"LA",1,"9:00",2,8,"HOU 27","2nd & 8 HOU 27","Rush",6,0,FALSE,"8:27",6,0,"","(Shotgun) E.Hood rush right tackle to HOU 24 for 3 yards (K.Burnett)","3 yard rush","","5:58",71,11,"","",0,FALSE,"",0,27,0,1440,3,1,0,0,0,0,0,0,0,"Shotgun","K.Burnett",NA,NA,"E.Hood",NA,0.00179164912362885,0.0483405185507465,0.000138647741347793,0.0751444051964499,0.407692208460618,0.00307840325703182,0.463814167670177,3.61028803684021,-0.396775860296552
7582,2,3134,17,602,"LA",1,"8:27",3,5,"HOU 24","3rd & 5 HOU 24","Pass",6,0,FALSE,"7:49",6,0,"","(Shotgun) C.Kanoff pass short middle to N.Spruce to HOU 5 for 19 yards (C.Brown)","19 yard pass","P3","5:58",71,11,"","",0,FALSE,"",0,24,0,1407,19,0,1,0,0,0,0,0,0,"Shotgun","C.Brown",NA,"C.Kanoff",NA,"N.Spruce",0.00207950957557377,0.050610624763785,0.000167365644478397,0.0812809312716947,0.490900562154276,0.00354297642424246,0.37141803016595,3.21351217654366,2.13124968710487
